tip	date	distance	residual
seq_180_2012-07-15	2012.535519125683	0.08617656873451192	-0.00885665428871589
seq_186_2013-07-15	2013.5342465753424	0.07155656873451192	-0.025434169220959826
seq_86_1993-07-15	1993.5342465753424	0.046591568734511965	-0.011198986370034594
seq_168_2010-07-15	2010.5342465753424	0.05896956873451194	-0.0321411417933211
seq_84_1993-07-15	1993.5342465753424	0.04707656873451192	-0.010713986370034637
seq_80_1992-07-15	1992.535519125683	0.047236568734511944	-0.008596471437790229
seq_81_1992-07-15	1992.535519125683	0.053820568734511895	-0.002012471437790278
seq_88_1994-07-15	1994.5342465753424	0.05588656873451191	-0.0038639955125808895
seq_82_1992-07-15	1992.535519125683	0.048144568734511964	-0.007688471437790209
seq_89_1994-07-15	1994.5342465753424	0.05578256873451194	-0.003967995512580855
seq_73_1991-07-15	1991.5342465753424	0.04751356873451194	-0.006356968084942141
seq_183_2013-07-15	2013.5342465753424	0.08970056873451195	-0.007290169220959805
seq_78_1992-07-15	1992.535519125683	0.04558656873451193	-0.010246471437790242
seq_75_1991-07-15	1991.5342465753424	0.046203568734511966	-0.007666968084942119
seq_187_2013-07-15	2013.5342465753424	0.045192568734511954	-0.0517981692209598
seq_87_1993-07-15	1993.5342465753424	0.04708356873451196	-0.010706986370034602
seq_79_1992-07-15	1992.535519125683	0.052880568734511954	-0.002952471437790219
seq_182_2012-07-15	2012.535519125683	0.07405956873451196	-0.02097365428871585
seq_179_2012-07-15	2012.535519125683	0.06865056873451196	-0.02638265428871585
seq_178_2012-07-15	2012.535519125683	0.07902056873451198	-0.01601265428871583
seq_184_2013-07-15	2013.5342465753424	0.09575356873451198	-0.0012371692209597746
seq_90_1994-07-15	1994.5342465753424	0.047266568734511974	-0.012483995512580823
seq_12_1983-07-15	1983.5342465753424	0.033427568734511956	-0.0047628949445717855
seq_49_1985-07-15	1985.5342465753424	0.042899568734511964	7.890867703357479E-4
seq_45_1985-07-15	1985.5342465753424	0.039679568734511964	-0.0024309132296642527
seq_48_1985-07-15	1985.5342465753424	0.039679568734511964	-0.0024309132296642527
seq_19_1983-07-15	1983.5342465753424	0.03621456873451194	-0.0019758949445718016
seq_157_2007-07-15	2007.5342465753424	0.08136956873451194	-0.003861114365682386
seq_92_1994-07-15	1994.5342465753424	0.060013568734511955	2.6300448741915783E-4
seq_70_1990-07-15	1990.5342465753424	0.03778956873451196	-0.014120958942395886
seq_137_2003-07-15	2003.5342465753424	0.06496956873451194	-0.012421077795497434
seq_172_2010-07-15	2010.5342465753424	0.10620156873451196	0.015090858206678923
seq_145_2005-07-15	2005.5342465753424	0.09779356873451193	0.016482903919410083
seq_171_2010-07-15	2010.5342465753424	0.07097656873451196	-0.020134141793321084
seq_63_1989-07-15	1989.5342465753424	0.09892656873451196	0.04897605020015035
seq_141_2004-07-15	2004.535519125683	0.07949756873451196	1.444188516544903E-4
seq_151_2006-07-15	2006.5342465753424	0.09004256873451195	0.006771894776863865
seq_169_2010-07-15	2010.5342465753424	0.11316256873451196	0.022051858206678918
seq_71_1990-07-15	1990.5342465753424	0.06792556873451193	0.016015041057604082
seq_9_1983-07-15	1983.5342465753424	0.05166556873451193	0.013475105055428191
seq_74_1991-07-15	1991.5342465753424	0.053674568734511915	-1.959680849421691E-4
seq_76_1991-07-15	1991.5342465753424	0.053803568734511906	-6.696808494217887E-5
seq_127_2001-07-15	2001.5342465753424	0.07608356873451193	0.0026129404895950253
seq_108_1998-07-15	1998.5342465753424	0.06973556873451191	0.0021449679172341612
seq_170_2010-07-15	2010.5342465753424	0.09449456873451194	0.0033838582066788997
seq_146_2005-07-15	2005.5342465753424	0.08808956873451194	0.0067789039194100925
seq_105_1997-07-15	1997.5342465753424	0.06639256873451192	7.619770597804137E-4
seq_143_2005-07-15	2005.5342465753424	0.07575756873451193	-0.005553096080589917
seq_99_1996-07-15	1996.535519125683	0.057237568734511926	-0.0064355080079756405
seq_98_1996-07-15	1996.535519125683	0.052250568734511935	-0.011422508007975632
seq_100_1996-07-15	1996.535519125683	0.05534356873451192	-0.008329508007975647
seq_101_1996-07-15	1996.535519125683	0.053498568734511934	-0.010174508007975633
seq_148_2006-07-15	2006.5342465753424	0.09411356873451192	0.010842894776863829
seq_123_2001-07-15	2001.5342465753424	0.06826856873451191	-0.005202059510404991
seq_1_1983-07-15	1983.5342465753424	0.031274431265488026	-0.006916032413595716
seq_2_1983-07-15	1983.5342465753424	0.03127643126548803	-0.006914032413595714
seq_31_1983-07-15	1983.5342465753424	0.03127843126548803	-0.006912032413595712
seq_21_1983-07-15	1983.5342465753424	0.03595443126548804	-0.0022360324135956983
seq_35_1983-07-15	1983.5342465753424	0.03680643126548806	-0.0013840324135956789
seq_30_1983-07-15	1983.5342465753424	0.04524043126548806	0.007049967586404318
seq_22_1983-07-15	1983.5342465753424	0.04303843126548808	0.0048479675864043364
seq_23_1983-07-15	1983.5342465753424	0.04303843126548808	0.0048479675864043364
seq_24_1983-07-15	1983.5342465753424	0.04303843126548808	0.0048479675864043364
seq_25_1983-07-15	1983.5342465753424	0.04303843126548808	0.0048479675864043364
seq_26_1983-07-15	1983.5342465753424	0.04303843126548808	0.0048479675864043364
seq_27_1983-07-15	1983.5342465753424	0.04303843126548808	0.0048479675864043364
seq_28_1983-07-15	1983.5342465753424	0.04303943126548808	0.0048489675864043374
seq_3_1983-07-15	1983.5342465753424	0.04304043126548808	0.0048499675864043384
seq_33_1983-07-15	1983.5342465753424	0.04304343126548808	0.0048529675864043414
